"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2012","94.37","94.80","94.90","94.13","1.17M","-0.16%"
"10/04/2012","94.52","93.58","94.59","93.50","1.36M","1.54%"
"10/03/2012","93.09","93.28","93.65","92.83","1.33M","-0.08%"
"10/02/2012","93.16","93.55","93.70","92.28","1.38M","-0.30%"
"10/01/2012","93.44","93.37","93.98","93.06","1.71M","0.06%"
"09/28/2012","93.38","92.28","93.70","92.08","1.78M","1.00%"
"09/27/2012","92.46","92.18","92.50","91.43","1.42M","0.60%"
"09/26/2012","91.91","91.49","92.67","91.49","1.19M","0.45%"
"09/25/2012","91.50","91.20","91.89","91.05","1.90M","0.51%"
"09/24/2012","91.04","91.35","91.49","90.39","1.50M","-0.27%"
"09/21/2012","91.29","91.35","91.74","91.05","3.00M","0.12%"
"09/20/2012","91.18","91.73","91.89","91.12","1.57M","-1.15%"
"09/19/2012","92.24","91.72","92.35","91.56","1.35M","0.51%"
"09/18/2012","91.77","91.93","92.09","91.06","1.34M","-0.48%"
"09/17/2012","92.21","92.29","92.95","92.00","4.67M","-0.34%"
"09/14/2012","92.52","93.14","93.20","92.02","1.78M","-0.65%"
"09/13/2012","93.13","92.43","93.45","91.95","1.33M","0.77%"
"09/12/2012","92.42","92.49","92.94","92.26","1.09M","0.20%"
"09/11/2012","92.24","92.00","92.50","91.83","969.07K","0.23%"
"09/10/2012","92.03","91.79","92.48","91.72","719.34K","-0.16%"
"09/07/2012","92.18","92.81","92.98","92.03","1.16M","-0.70%"
"09/06/2012","92.83","92.00","92.85","91.60","1.22M","1.42%"
"09/05/2012","91.53","90.44","91.58","90.34","1.40M","1.10%"
"09/04/2012","90.53","91.19","91.39","90.01","959.14K","-0.67%"
"08/31/2012","91.14","91.37","91.76","90.77","1.09M","0.23%"
"08/30/2012","90.93","91.03","91.32","90.52","908.21K","-1.08%"
"08/29/2012","91.92","92.55","92.75","91.82","969.71K","-0.61%"
"08/28/2012","92.48","91.86","92.70","91.38","1.82M","0.22%"
"08/27/2012","92.28","92.64","93.00","92.21","945.59K","-0.18%"
"08/24/2012","92.45","91.76","92.68","91.70","1.48M","0.27%"
"08/23/2012","92.20","93.00","93.00","91.70","1.42M","-0.89%"
"08/22/2012","93.03","93.47","93.50","92.67","1.61M","-0.82%"
"08/21/2012","93.80","93.71","93.99","93.11","1.87M","0.51%"
"08/20/2012","93.32","92.12","93.50","92.12","1.57M","1.00%"
"08/17/2012","92.40","92.34","92.50","91.78","1.57M","0.38%"
